Contactor initially off.....!
ADC Complete!
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
UV Limit set to = 0.555
OV_limit set to = 3.500
OVTF limit set to = 35degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
0.994,1.000,12.001,30.787,31.669,0,0,0,0,,0.994,1.000,11.943,31.083,31.863,0,0,0,0,,0.994,1.000,11.695,32.939,34.077,0,0,0,0,,0.994,1.000,11.710,31.973,32.452,0,0,0,0,
0.993,0.999,11.987,30.811,31.706,0,0,0,0,,0.993,0.999,11.948,31.130,31.839,0,0,0,0,,0.993,0.999,12.069,33.052,34.090,0,0,0,0,,0.993,0.999,11.710,31.973,32.452,0,0,0,0,
0.993,0.999,11.987,30.811,31.706,0,0,0,0,,0.993,0.999,11.948,31.130,31.839,0,0,0,0,,0.993,0.999,12.069,33.052,34.090,0,0,0,0,,0.993,0.999,11.997,31.924,32.390,0,0,0,0,
0.994,1.001,11.997,30.858,31.742,0,0,0,0,,0.994,1.001,11.671,31.166,31.863,0,0,0,0,,0.994,1.001,12.069,33.115,34.077,0,0,0,0,,0.994,1.001,11.997,31.924,32.390,0,0,0,0,
0.994,1.001,11.997,30.858,31.742,0,0,0,0,,0.994,1.001,11.671,31.166,31.863,0,0,0,0,,0.994,1.001,12.069,33.115,34.077,0,0,0,0,,0.994,1.001,12.035,31.900,32.353,0,0,0,0,
0.994,1.000,12.001,30.893,31.766,0,0,0,0,,0.994,1.000,11.943,31.237,31.900,0,0,0,0,,0.994,1.000,12.079,33.204,34.103,0,0,0,0,,0.994,1.000,12.035,31.900,32.353,0,0,0,0,
0.994,1.000,12.001,30.893,31.766,0,0,0,0,,0.994,1.000,11.943,31.237,31.900,0,0,0,0,,0.994,1.000,12.079,33.204,34.103,0,0,0,0,,0.994,1.000,12.035,31.815,32.255,0,0,0,0,
0.993,1.000,11.992,30.917,31.791,0,0,0,0,,0.993,1.000,11.938,31.297,31.936,0,0,0,0,,0.993,1.000,12.079,33.305,34.156,0,0,0,0,,0.993,1.000,12.035,31.815,32.255,0,0,0,0,
0.993,1.000,11.992,30.917,31.791,0,0,0,0,,0.993,1.000,11.938,31.297,31.936,0,0,0,0,,0.993,1.000,12.079,33.305,34.156,0,0,0,0,,0.993,1.000,11.734,31.766,32.206,0,0,0,0,
0.993,1.000,11.992,30.988,31.876,0,0,0,0,,0.993,1.000,11.958,31.381,32.255,0,0,0,0,,0.993,1.000,12.084,33.420,34.208,0,0,0,0,,0.993,1.000,11.734,31.766,32.206,0,0,0,0,
0.993,1.000,11.992,30.988,31.876,0,0,0,0,,0.993,1.000,11.958,31.381,32.255,0,0,0,0,,0.993,1.000,12.084,33.420,34.208,0,0,0,0,,0.993,1.000,12.035,31.742,32.169,0,0,0,0,
0.994,1.000,11.997,31.059,31.985,0,0,0,0,,0.994,1.000,11.953,31.465,32.378,0,0,0,0,,0.994,1.000,12.065,33.535,34.286,0,0,0,0,,0.994,1.000,12.035,31.742,32.169,0,0,0,0,
0.994,1.000,11.997,31.059,31.985,0,0,0,0,,0.994,1.000,11.953,31.465,32.378,0,0,0,0,,0.994,1.000,12.065,33.535,34.286,0,0,0,0,,0.994,1.000,12.035,31.694,32.120,0,0,0,0,
0.993,1.000,11.987,31.130,32.108,0,0,0,0,,0.993,1.000,11.578,31.549,32.440,0,0,0,0,,0.993,1.000,11.890,33.650,34.391,0,0,0,0,,0.993,1.000,12.035,31.694,32.120,0,0,0,0,
0.993,1.000,11.987,31.130,32.108,0,0,0,0,,0.993,1.000,11.578,31.549,32.440,0,0,0,0,,0.993,1.000,11.890,33.650,34.391,0,0,0,0,,0.993,1.000,12.035,31.669,32.083,0,0,0,0,
0.994,1.000,11.992,31.381,32.726,0,0,0,0,,0.994,1.000,11.948,31.669,32.514,0,0,0,0,,0.994,1.000,12.084,33.650,34.352,0,0,0,0,,0.994,1.000,12.035,31.669,32.083,0,0,0,0,
0.994,1.000,11.992,31.381,32.726,0,0,0,0,,0.994,1.000,11.948,31.669,32.514,0,0,0,0,,0.994,1.000,12.084,33.650,34.352,0,0,0,0,,0.994,1.000,11.758,31.633,32.046,0,0,0,0,
0.994,1.000,11.997,31.393,32.490,0,0,0,0,,0.994,1.000,11.948,31.803,32.440,0,0,0,0,,0.994,1.000,12.084,33.689,34.378,0,0,0,0,,0.994,1.000,11.758,31.633,32.046,0,0,0,0,
0.994,1.000,11.997,31.393,32.490,0,0,0,0,,0.994,1.000,11.948,31.803,32.440,0,0,0,0,,0.994,1.000,12.084,33.689,34.378,0,0,0,0,,0.994,1.000,12.021,31.573,31.985,0,0,0,0,
0.993,1.000,11.982,31.453,32.527,0,0,0,0,,0.993,1.000,11.184,31.961,32.713,0,0,0,0,,0.993,1.000,12.065,33.753,34.431,0,0,0,0,,0.993,1.000,12.021,31.573,31.985,0,0,0,0,
0.993,1.000,11.982,31.453,32.527,0,0,0,0,,0.993,1.000,11.184,31.961,32.713,0,0,0,0,,0.993,1.000,12.065,33.753,34.431,0,0,0,0,,0.993,1.000,12.040,31.549,31.936,0,0,0,0,
